ID,Kind,Positive Votes,Negative Votes,Important Votes,Liked Votes,Disliked Votes,LOL Votes,Toxic Votes,Saved,Comments,published_at,Domain
19382443,news,11,0,6,9,0,0,0,3,0,2024-04-05T06:51:20Z,coinpaprika.com
19381810,news,6,2,2,4,0,0,0,0,1,2024-04-04T23:00:54Z,cryptoslate.com
19381740,news,2,5,1,2,4,3,0,1,1,2024-04-04T22:00:23Z,ambcrypto.com
19376271,news,8,0,4,7,0,0,0,3,0,2024-04-03T07:26:55Z,coinpaprika.com
19376234,news,9,1,7,6,0,1,0,5,0,2024-04-03T07:14:26Z,coinpaprika.com
19373052,news,13,0,10,12,0,0,0,1,1,2024-04-02T05:29:20Z,coinpaprika.com
19369074,news,12,0,6,9,0,1,0,2,1,2024-03-31T07:04:57Z,dailyhodl.com
19361801,news,7,0,2,4,0,0,0,1,6,2024-03-28T01:08:00Z,cointelegraph.com
19361263,news,5,4,0,3,1,1,0,1,0,2024-03-27T19:55:23Z,dailyhodl.com
19360824,news,5,4,1,3,4,3,0,0,0,2024-03-27T17:00:36Z,newsbtc.com
19360171,news,1,7,1,0,3,3,0,1,2,2024-03-27T13:57:06Z,en.bitcoinsistemi.com
19357753,news,6,7,2,6,6,5,0,0,0,2024-03-26T17:30:03Z,bitcoinist.com
19357169,news,0,5,4,0,2,4,0,0,6,2024-03-26T15:05:05Z,en.bitcoinsistemi.com
19355955,news,5,0,4,8,0,0,0,0,0,2024-03-26T09:15:37Z,dailyhodl.com
19355800,news,8,0,6,8,0,0,0,4,0,2024-03-26T08:01:40Z,coinpaprika.com
19355317,news,10,2,7,8,0,0,0,1,1,2024-03-26T01:00:45Z,cryptobriefing.com
19355264,news,7,0,5,7,0,0,0,2,2,2024-03-26T00:02:31Z,cointelegraph.com
19354549,news,12,0,10,10,0,0,0,0,3,2024-03-25T17:30:05Z,coindesk.com
19349738,news,14,7,9,14,8,7,0,1,3,2024-03-22T23:00:00Z,cryptoglobe.com
19349596,news,3,3,3,4,0,5,0,1,5,2024-03-22T21:21:02Z,cryptobriefing.com
19348727,news,0,1,9,1,1,0,0,3,2,2024-03-22T15:00:03Z,bitcoinist.com
19344759,news,5,0,4,3,0,0,0,2,0,2024-03-21T09:30:00Z,coingabbar.com
19343592,news,1,10,0,1,7,7,0,1,0,2024-03-20T20:00:38Z,newsbtc.com
